"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3"
0.000,-1.0260,1.7604E-10,0.000,-1.0264,4.7225E-11,0.000,-1.0275,1.1830E-11
0.100,-1.0260,1.7606E-10,0.100,-1.0263,4.7222E-11,0.100,-1.0269,1.1855E-11
0.200,-1.0261,1.7610E-10,0.200,-1.0266,4.7219E-11,0.200,-1.0272,1.1841E-11
0.300,-1.0261,1.7623E-10,0.300,-1.0266,4.7208E-11,0.300,-1.0270,1.1818E-11
0.400,-1.0262,1.7656E-10,0.400,-1.0265,4.7166E-11,0.400,-1.0266,1.1809E-11
0.500,-1.0267,1.7724E-10,0.500,-1.0266,4.7114E-11,0.500,-1.0269,1.1790E-11
0.600,-1.0266,1.7832E-10,0.600,-1.0265,4.7090E-11,0.600,-1.0269,1.1761E-11
0.700,-1.0267,1.7950E-10,0.700,-1.0267,4.7095E-11,0.700,-1.0264,1.1733E-11
0.800,-1.0263,1.8031E-10,0.800,-1.0264,4.7152E-11,0.800,-1.0271,1.1719E-11
0.900,-1.0264,1.8050E-10,0.900,-1.0268,4.7229E-11,0.900,-1.0268,1.1729E-11
1.000,-1.0266,1.8018E-10,1.000,-1.0266,4.7269E-11,1.000,-1.0272,1.1742E-11
1.100,-1.0265,1.7956E-10,1.100,-1.0270,4.7261E-11,1.100,-1.0269,1.1758E-11
1.200,-1.0265,1.7887E-10,1.200,-1.0265,4.7246E-11,1.200,-1.0271,1.1743E-11
1.300,-1.0270,1.7824E-10,1.300,-1.0265,4.7288E-11,1.300,-1.0266,1.1727E-11
1.400,-1.0265,1.7774E-10,1.400,-1.0265,4.7391E-11,1.400,-1.0270,1.1698E-11
1.500,-1.0269,1.7740E-10,1.500,-1.0261,4.7497E-11,1.500,-1.0271,1.1677E-11
1.600,-1.0268,1.7719E-10,1.600,-1.0261,4.7587E-11,1.600,-1.0267,1.1669E-11
1.700,-1.0264,1.7704E-10,1.700,-1.0267,4.7657E-11,1.700,-1.0270,1.1666E-11
1.800,-1.0268,1.7691E-10,1.800,-1.0267,4.7689E-11,1.800,-1.0271,1.1683E-11
1.900,-1.0263,1.7689E-10,1.900,-1.0265,4.7700E-11,1.900,-1.0269,1.1711E-11
2.000,-1.0267,1.7719E-10,2.000,-1.0267,4.7709E-11,2.000,-1.0270,1.1734E-11
2.100,-1.0265,1.7780E-10,2.100,-1.0263,4.7763E-11,2.100,-1.0269,1.1754E-11
2.200,-1.0268,1.7834E-10,2.200,-1.0271,4.7877E-11,2.200,-1.0267,1.1765E-11
2.300,-1.0265,1.7856E-10,2.300,-1.0269,4.8025E-11,2.300,-1.0269,1.1766E-11
2.400,-1.0264,1.7869E-10,2.400,-1.0268,4.8136E-11,2.400,-1.0265,1.1741E-11
2.500,-1.0262,1.7882E-10,2.500,-1.0264,4.8160E-11,2.500,-1.0262,1.1687E-11
2.600,-1.0263,1.7891E-10,2.600,-1.0265,4.8091E-11,2.600,-1.0269,1.1620E-11
2.700,-1.0264,1.7904E-10,2.700,-1.0267,4.8003E-11,2.700,-1.0261,1.1593E-11
2.800,-1.0265,1.7909E-10,2.800,-1.0268,4.7959E-11,2.800,-1.0265,1.1590E-11
2.900,-1.0263,1.7904E-10,2.900,-1.0268,4.7916E-11,2.900,-1.0265,1.1605E-11
3.000,-1.0265,1.7884E-10,3.000,-1.0267,4.7860E-11,3.000,-1.0268,1.1626E-11
3.100,-1.0264,1.7857E-10,3.100,-1.0269,4.7843E-11,3.100,-1.0262,1.1648E-11
3.200,-1.0261,1.7846E-10,3.200,-1.0265,4.7907E-11,3.200,-1.0269,1.1659E-11
3.300,-1.0264,1.7850E-10,3.300,-1.0267,4.8028E-11,3.300,-1.0266,1.1670E-11
3.400,-1.0266,1.7840E-10,3.400,-1.0268,4.8139E-11,3.400,-1.0266,1.1669E-11
3.500,-1.0267,1.7798E-10,3.500,-1.0265,4.8199E-11,3.500,-1.0264,1.1668E-11
3.600,-1.0261,1.7737E-10,3.600,-1.0263,4.8218E-11,3.600,-1.0263,1.1665E-11
3.700,-1.0262,1.7683E-10,3.700,-1.0265,4.8200E-11,3.700,-1.0264,1.1662E-11
3.800,-1.0264,1.7655E-10,3.800,-1.0265,4.8127E-11,3.800,-1.0268,1.1665E-11
3.900,-1.0263,1.7649E-10,3.900,-1.0264,4.8014E-11,3.900,-1.0262,1.1681E-11
4.000,-1.0263,1.7635E-10,4.000,-1.0266,4.7908E-11,4.000,-1.0265,1.1711E-11
4.100,-1.0260,1.7612E-10,4.100,-1.0261,4.7848E-11,4.100,-1.0264,1.1758E-11
4.200,-1.0263,1.7591E-10,4.200,-1.0265,4.7844E-11,4.200,-1.0271,1.1800E-11
4.300,-1.0259,1.7572E-10,4.300,-1.0263,4.7846E-11,4.300,-1.0266,1.1842E-11
4.400,-1.0259,1.7562E-10,4.400,-1.0265,4.7805E-11,4.400,-1.0269,1.1869E-11
4.500,-1.0263,1.7562E-10,4.500,-1.0267,4.7710E-11,4.500,-1.0265,1.1875E-11
4.600,-1.0264,1.7581E-10,4.600,-1.0264,4.7620E-11,4.600,-1.0268,1.1854E-11
4.700,-1.0263,1.7621E-10,4.700,-1.0263,4.7593E-11,4.700,-1.0265,1.1827E-11
4.800,-1.0261,1.7672E-10,4.800,-1.0262,4.7624E-11,4.800,-1.0267,1.1780E-11
4.900,-1.0261,1.7711E-10,4.900,-1.0261,4.7667E-11,4.900,-1.0266,1.1730E-11
5.000,-1.0261,1.7718E-10,5.000,-1.0260,4.7679E-11,5.000,-1.0266,1.1682E-11
5.100,-1.0261,1.7704E-10,5.100,-1.0260,4.7636E-11,5.100,-1.0265,1.1639E-11
5.200,-1.0262,1.7688E-10,5.200,-1.0265,4.7592E-11,5.200,-1.0266,1.1611E-11
5.300,-1.0260,1.7665E-10,5.300,-1.0259,4.7599E-11,5.300,-1.0263,1.1599E-11
5.400,-1.0261,1.7634E-10,5.400,-1.0259,4.7608E-11,5.400,-1.0266,1.1589E-11
5.500,-1.0260,1.7599E-10,5.500,-1.0260,4.7583E-11,5.500,-1.0265,1.1592E-11
5.600,-1.0266,1.7570E-10,5.600,-1.0260,4.7519E-11,5.600,-1.0264,1.1602E-11
5.700,-1.0260,1.7543E-10,5.700,-1.0267,4.7431E-11,5.700,-1.0264,1.1611E-11
5.800,-1.0260,1.7514E-10,5.800,-1.0265,4.7352E-11,5.800,-1.0268,1.1631E-11
5.900,-1.0266,1.7469E-10,5.900,-1.0265,4.7313E-11,5.900,-1.0271,1.1677E-11
6.000,-1.0260,1.7408E-10,6.000,-1.0265,4.7318E-11,6.000,-1.0259,1.1742E-11
6.100,-1.0264,1.7340E-10,6.100,-1.0270,4.7325E-11,6.100,-1.0264,1.1779E-11
6.200,-1.0265,1.7263E-10,6.200,-1.0266,4.7341E-11,6.200,-1.0265,1.1793E-11
6.300,-1.0262,1.7167E-10,6.300,-1.0263,4.7330E-11,6.300,-1.0265,1.1791E-11
6.400,-1.0264,1.7102E-10,6.400,-1.0261,4.7277E-11,6.400,-1.0260,1.1777E-11
6.500,-1.0263,1.7114E-10,6.500,-1.0263,4.7239E-11,6.500,-1.0263,1.1760E-11
6.600,-1.0265,1.7187E-10,6.600,-1.0268,4.7238E-11,6.600,-1.0264,1.1731E-11
6.700,-1.0257,1.7262E-10,6.700,-1.0266,4.7239E-11,6.700,-1.0262,1.1709E-11
6.800,-1.0259,1.7273E-10,6.800,-1.0267,4.7207E-11,6.800,-1.0265,1.1695E-11
6.900,-1.0259,1.7223E-10,6.900,-1.0269,4.7192E-11,6.900,-1.0263,1.1694E-11
7.000,-1.0260,1.7149E-10,7.000,-1.0268,4.7263E-11,7.000,-1.0261,1.1688E-11
7.100,-1.0263,1.7126E-10,7.100,-1.0263,4.7379E-11,7.100,-1.0262,1.1688E-11
7.200,-1.0263,1.7174E-10,7.200,-1.0265,4.7466E-11,7.200,-1.0257,1.1691E-11
7.300,-1.0259,1.7272E-10,7.300,-1.0264,4.7529E-11,7.300,-1.0259,1.1707E-11
7.400,-1.0266,1.7394E-10,7.400,-1.0263,4.7593E-11,7.400,-1.0257,1.1735E-11
7.500,-1.0268,1.7542E-10,7.500,-1.0261,4.7625E-11,7.500,-1.0263,1.1776E-11
7.600,-1.0267,1.7685E-10,7.600,-1.0266,4.7611E-11,7.600,-1.0261,1.1805E-11
7.700,-1.0266,1.7787E-10,7.700,-1.0268,4.7534E-11,7.700,-1.0264,1.1829E-11
