"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
0.000,-1.0265,9.6274E-11,0.000,-1.0263,4.8280E-11,0.000,-1.0264,1.8023E-10,0.000,-1.0270,1.0544E-10,0.000,-1.0266,4.2387E-10,0.000,-1.0260,2.3197E-10
0.100,-1.0264,9.6442E-11,0.100,-1.0262,4.9228E-11,0.100,-1.0262,1.8056E-10,0.100,-1.0268,1.0597E-10,0.100,-1.0268,4.2251E-10,0.100,-1.0262,2.3180E-10
0.200,-1.0260,9.6588E-11,0.200,-1.0259,5.0071E-11,0.200,-1.0263,1.8081E-10,0.200,-1.0266,1.0628E-10,0.200,-1.0266,4.2120E-10,0.200,-1.0266,2.3160E-10
0.300,-1.0263,9.6714E-11,0.300,-1.0260,5.0768E-11,0.300,-1.0262,1.8097E-10,0.300,-1.0264,1.0630E-10,0.300,-1.0261,4.2044E-10,0.300,-1.0266,2.3135E-10
0.400,-1.0263,9.6840E-11,0.400,-1.0264,5.1196E-11,0.400,-1.0267,1.8103E-10,0.400,-1.0270,1.0598E-10,0.400,-1.0269,4.2074E-10,0.400,-1.0262,2.3104E-10
0.500,-1.0269,9.6892E-11,0.500,-1.0262,5.1350E-11,0.500,-1.0262,1.8103E-10,0.500,-1.0270,1.0543E-10,0.500,-1.0267,4.2178E-10,0.500,-1.0261,2.3069E-10
0.600,-1.0266,9.6881E-11,0.600,-1.0263,5.1351E-11,0.600,-1.0262,1.8089E-10,0.600,-1.0265,1.0488E-10,0.600,-1.0267,4.2293E-10,0.600,-1.0260,2.3037E-10
0.700,-1.0272,9.6781E-11,0.700,-1.0262,5.1315E-11,0.700,-1.0262,1.8064E-10,0.700,-1.0267,1.0445E-10,0.700,-1.0262,4.2393E-10,0.700,-1.0262,2.3015E-10
0.800,-1.0266,9.6601E-11,0.800,-1.0261,5.1294E-11,0.800,-1.0264,1.8050E-10,0.800,-1.0265,1.0411E-10,0.800,-1.0262,4.2468E-10,0.800,-1.0263,2.3002E-10
0.900,-1.0266,9.6343E-11,0.900,-1.0261,5.1338E-11,0.900,-1.0263,1.8060E-10,0.900,-1.0266,1.0400E-10,0.900,-1.0258,4.2526E-10,0.900,-1.0261,2.2997E-10
1.000,-1.0263,9.6048E-11,1.000,-1.0263,5.1384E-11,1.000,-1.0266,1.8085E-10,1.000,-1.0265,1.0435E-10,1.000,-1.0262,4.2573E-10,1.000,-1.0263,2.2988E-10
