"Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
0.000,-1.4770,4.7819E-13,0.000,-1.4778,-5.3125E-14,0.000,-1.4773,-1.0084E-13
0.100,-1.4773,4.7802E-13,0.100,-1.4777,-5.3430E-14,0.100,-1.4767,-9.9146E-14
0.200,-1.4774,4.8044E-13,0.200,-1.4778,-5.0037E-14,0.200,-1.4773,-1.0433E-13
0.300,-1.4778,4.8798E-13,0.300,-1.4777,-3.6450E-14,0.300,-1.4776,-1.0724E-13
0.400,-1.4777,4.8960E-13,0.400,-1.4777,-2.9285E-14,0.400,-1.4774,-1.0321E-13
0.500,-1.4780,4.8457E-13,0.500,-1.4777,-2.3401E-14,0.500,-1.4777,-1.0593E-13
0.600,-1.4776,4.8419E-13,0.600,-1.4777,-1.2158E-14,0.600,-1.4775,-1.0331E-13
0.700,-1.4776,4.6873E-13,0.700,-1.4777,-5.2612E-15,0.700,-1.4778,-1.0194E-13
0.800,-1.4775,4.6292E-13,0.800,-1.4774,-2.3926E-15,0.800,-1.4778,-1.0817E-13
0.900,-1.4775,4.5638E-13,0.900,-1.4774,-1.9897E-15,0.900,-1.4776,-1.1416E-13
1.000,-1.4775,4.5624E-13,1.000,-1.4776,-3.7720E-15,1.000,-1.4776,-1.1740E-13
1.100,-1.4773,4.6222E-13,1.100,-1.4774,1.2207E-15,1.100,-1.4777,-1.2334E-13
1.200,-1.4777,4.5936E-13,1.200,-1.4777,1.8311E-15,1.200,-1.4777,-1.2117E-13
1.300,-1.4776,4.5778E-13,1.300,-1.4771,6.8237E-15,1.300,-1.4776,-1.2083E-13
1.400,-1.4776,4.5837E-13,1.400,-1.4771,8.6182E-15,1.400,-1.4773,-1.2529E-13
1.500,-1.4775,4.5977E-13,1.500,-1.4772,1.0437E-14,1.500,-1.4776,-1.2997E-13
1.600,-1.4776,4.5914E-13,1.600,-1.4775,3.2227E-15,1.600,-1.4780,-1.3352E-13
1.700,-1.4776,4.6290E-13,1.700,-1.4780,-4.7607E-16,1.700,-1.4776,-1.3495E-13
1.800,-1.4777,4.6467E-13,1.800,-1.4781,3.3691E-15,1.800,-1.4775,-1.2744E-13
1.900,-1.4775,4.7057E-13,1.900,-1.4778,2.5269E-15,1.900,-1.4779,-1.2155E-13
2.000,-1.4773,4.7642E-13,2.000,-1.4777,-5.8594E-16,2.000,-1.4776,-1.1641E-13
2.100,-1.4772,4.7832E-13,2.100,-1.4776,3.2104E-15,2.100,-1.4775,-1.0935E-13
2.200,-1.4776,4.8033E-13,2.200,-1.4777,7.9956E-15,2.200,-1.4773,-1.0468E-13
2.300,-1.4776,4.8802E-13,2.300,-1.4779,1.3159E-14,2.300,-1.4771,-1.0128E-13
2.400,-1.4773,4.8472E-13,2.400,-1.4773,2.1155E-14,2.400,-1.4774,-1.0447E-13
2.500,-1.4775,4.7954E-13,2.500,-1.4771,2.2290E-14,2.500,-1.4773,-1.0056E-13
2.600,-1.4772,4.7839E-13,2.600,-1.4774,1.4270E-14,2.600,-1.4773,-9.8120E-14
2.700,-1.4771,4.8182E-13,2.700,-1.4775,1.0596E-14,2.700,-1.4773,-1.0165E-13
2.800,-1.4772,4.7889E-13,2.800,-1.4774,7.0557E-15,2.800,-1.4773,-9.9121E-14
2.900,-1.4770,4.7688E-13,2.900,-1.4774,3.9551E-15,2.900,-1.4775,-1.0135E-13
3.000,-1.4774,4.7688E-13,3.000,-1.4774,5.6641E-15,3.000,-1.4774,-1.0037E-13
3.100,-1.4772,4.8298E-13,3.100,-1.4776,1.1218E-14,3.100,-1.4769,-9.2737E-14
3.200,-1.4774,4.8491E-13,3.200,-1.4773,1.8274E-14,3.200,-1.4770,-9.1772E-14
3.300,-1.4775,4.7839E-13,3.300,-1.4771,1.5979E-14,3.300,-1.4771,-8.6084E-14
3.400,-1.4771,4.6848E-13,3.400,-1.4773,1.7566E-14,3.400,-1.4772,-8.7268E-14
3.500,-1.4774,4.5934E-13,3.500,-1.4777,1.2781E-14,3.500,-1.4777,-8.4204E-14
3.600,-1.4777,4.4600E-13,3.600,-1.4777,8.3984E-15,3.600,-1.4776,-7.4377E-14
3.700,-1.4775,4.4242E-13,3.700,-1.4780,3.9795E-15,3.700,-1.4774,-6.7480E-14
3.800,-1.4773,4.4075E-13,3.800,-1.4776,7.1167E-15,3.800,-1.4775,-7.5769E-14
3.900,-1.4773,4.3643E-13,3.900,-1.4778,2.7100E-15,3.900,-1.4773,-7.5305E-14
4.000,-1.4775,4.3362E-13,4.000,-1.4770,-9.7656E-17,4.000,-1.4777,-8.7805E-14
4.100,-1.4777,4.3201E-13,4.100,-1.4774,-1.5137E-15,4.100,-1.4775,-9.2346E-14
4.200,-1.4776,4.3369E-13,4.200,-1.4773,-1.1719E-15,4.200,-1.4776,-9.7925E-14
4.300,-1.4775,4.3313E-13,4.300,-1.4779,2.2461E-15,4.300,-1.4769,-9.7852E-14
4.400,-1.4776,4.3573E-13,4.400,-1.4778,8.0444E-15,4.400,-1.4773,-9.5679E-14
4.500,-1.4774,4.4082E-13,4.500,-1.4779,1.0828E-14,4.500,-1.4774,-8.9478E-14
4.600,-1.4773,4.4913E-13,4.600,-1.4777,1.4075E-14,4.600,-1.4775,-8.7317E-14
4.700,-1.4777,4.4984E-13,4.700,-1.4780,1.3220E-14,4.700,-1.4775,-9.3567E-14
4.800,-1.4777,4.4567E-13,4.800,-1.4780,1.3367E-14,4.800,-1.4778,-1.0708E-13
4.900,-1.4771,4.4927E-13,4.900,-1.4778,1.0217E-14,4.900,-1.4774,-1.0953E-13
5.000,-1.4772,4.4930E-13,5.000,-1.4777,7.8979E-15,5.000,-1.4771,-1.0770E-13
5.100,-1.4769,4.5815E-13,5.100,-1.4776,5.2734E-15,5.100,-1.4772,-1.0442E-13
5.200,-1.4776,4.6682E-13,5.200,-1.4780,3.1738E-16,5.200,-1.4775,-1.0588E-13
5.300,-1.4774,4.7539E-13,5.300,-1.4779,-7.1533E-15,5.300,-1.4777,-1.0918E-13
5.400,-1.4775,4.8340E-13,5.400,-1.4777,-1.0681E-14,5.400,-1.4772,-1.1196E-13
5.500,-1.4777,4.8466E-13,5.500,-1.4774,-8.0933E-15,5.500,-1.4769,-1.1516E-13
5.600,-1.4778,4.7720E-13,5.600,-1.4776,-2.0264E-15,5.600,-1.4774,-1.1255E-13
5.700,-1.4774,4.7815E-13,5.700,-1.4777,5.1758E-15,5.700,-1.4773,-1.0531E-13
5.800,-1.4769,4.6531E-13,5.800,-1.4779,5.1880E-15,5.800,-1.4772,-1.0477E-13
5.900,-1.4774,4.4761E-13,5.900,-1.4778,1.3147E-14,5.900,-1.4772,-1.0701E-13
6.000,-1.4775,4.3953E-13,6.000,-1.4777,2.0068E-14,6.000,-1.4772,-1.0842E-13
6.100,-1.4774,4.3440E-13,6.100,-1.4777,2.4146E-14,6.100,-1.4775,-1.1488E-13
6.200,-1.4778,4.3331E-13,6.200,-1.4776,2.1729E-14,6.200,-1.4774,-1.1036E-13
6.300,-1.4775,4.4515E-13,6.300,-1.4778,2.2034E-14,6.300,-1.4773,-1.1077E-13
6.400,-1.4779,4.4976E-13,6.400,-1.4775,2.0117E-14,6.400,-1.4776,-1.1062E-13
6.500,-1.4778,4.5157E-13,6.500,-1.4774,1.9263E-14,6.500,-1.4773,-1.1018E-13
6.600,-1.4776,4.4725E-13,6.600,-1.4780,2.1118E-14,6.600,-1.4771,-9.7668E-14
6.700,-1.4774,4.4513E-13,6.700,-1.4778,2.3486E-14,6.700,-1.4772,-9.6167E-14
6.800,-1.4778,4.4386E-13,6.800,-1.4777,2.7734E-14,6.800,-1.4771,-8.8049E-14
6.900,-1.4777,4.4941E-13,6.900,-1.4775,3.8049E-14,6.900,-1.4775,-9.4434E-14
7.000,-1.4773,4.5742E-13,7.000,-1.4777,3.7024E-14,7.000,-1.4777,-1.0037E-13
7.100,-1.4774,4.6399E-13,7.100,-1.4775,3.7500E-14,7.100,-1.4779,-1.0952E-13
7.200,-1.4778,4.6752E-13,7.200,-1.4772,3.8647E-14,7.200,-1.4774,-1.1405E-13
7.300,-1.4773,4.6992E-13,7.300,-1.4777,3.3411E-14,7.300,-1.4777,-1.2358E-13
7.400,-1.4772,4.6897E-13,7.400,-1.4777,3.1409E-14,7.400,-1.4776,-1.2611E-13
7.500,-1.4770,4.6017E-13,7.500,-1.4777,2.3022E-14,7.500,-1.4771,-1.2648E-13
7.600,-1.4772,4.4674E-13,7.600,-1.4776,1.3123E-14,7.600,-1.4772,-1.1678E-13
7.700,-1.4773,4.4082E-13,7.700,-1.4774,9.7656E-15,7.700,-1.4777,-1.0802E-13
7.800,-1.4775,4.3701E-13,7.800,-1.4775,1.4282E-14,7.800,-1.4774,-9.5044E-14
7.900,-1.4780,4.3735E-13,7.900,-1.4778,2.3401E-14,7.900,-1.4776,-8.6047E-14
8.000,-1.4777,4.3774E-13,8.000,-1.4775,3.1836E-14,8.000,-1.4777,-9.1101E-14
8.100,-1.4773,4.4706E-13,8.100,-1.4779,3.7329E-14,8.100,-1.4776,-9.3835E-14
8.200,-1.4773,4.5280E-13,8.200,-1.4785,3.1824E-14,8.200,-1.4772,-1.0879E-13
8.300,-1.4776,4.5620E-13,8.300,-1.4779,2.6270E-14,8.300,-1.4772,-1.1677E-13
8.400,-1.4776,4.6553E-13,8.400,-1.4779,1.4563E-14,8.400,-1.4773,-1.3114E-13
8.500,-1.4776,4.7581E-13,8.500,-1.4780,1.6431E-14,8.500,-1.4771,-1.3215E-13
8.600,-1.4774,4.8346E-13,8.600,-1.4775,2.7515E-14,8.600,-1.4770,-1.2213E-13
8.700,-1.4777,4.8287E-13,8.700,-1.4777,2.7759E-14,8.700,-1.4774,-1.1705E-13
8.800,-1.4781,4.7344E-13,8.800,-1.4777,2.5781E-14,8.800,-1.4769,-1.0596E-13
8.900,-1.4777,4.7216E-13,8.900,-1.4781,2.0459E-14,8.900,-1.4774,-1.0848E-13
9.000,-1.4774,4.6851E-13,9.000,-1.4778,1.3281E-14,9.000,-1.4773,-1.1083E-13
9.100,-1.4774,4.6874E-13,9.100,-1.4779,6.3232E-15,9.100,-1.4771,-1.1345E-13
9.200,-1.4779,4.6627E-13,9.200,-1.4780,3.8330E-15,9.200,-1.4770,-1.2357E-13
9.300,-1.4781,4.6075E-13,9.300,-1.4782,3.3936E-15,9.300,-1.4766,-1.1940E-13
9.400,-1.4775,4.5541E-13,9.400,-1.4781,2.2217E-15,9.400,-1.4768,-1.1516E-13
9.500,-1.4774,4.5498E-13,9.500,-1.4775,-3.4302E-15,9.500,-1.4775,-1.0908E-13
9.600,-1.4777,4.4934E-13,9.600,-1.4781,-7.2266E-15,9.600,-1.4770,-1.0475E-13
9.700,-1.4779,4.4279E-13,9.700,-1.4777,-2.9663E-15,9.700,-1.4773,-1.0466E-13
9.800,-1.4779,4.4227E-13,9.800,-1.4776,3.0396E-15,9.800,-1.4771,-1.0009E-13
9.900,-1.4780,4.4800E-13,9.900,-1.4774,1.8347E-14,9.900,-1.4771,-9.8499E-14
10.000,-1.4771,4.5677E-13,10.000,-1.4780,2.5830E-14,10.000,-1.4771,-9.5178E-14
10.100,-1.4772,4.5817E-13,10.100,-1.4779,3.1116E-14,10.100,-1.4770,-8.8489E-14
10.200,-1.4774,4.6499E-13,10.200,-1.4777,3.3850E-14,10.200,-1.4772,-8.8123E-14
10.300,-1.4775,4.7299E-13,10.300,-1.4780,2.6111E-14,10.300,-1.4776,-9.3921E-14
,,,10.400,-1.4781,2.3889E-14,10.400,-1.4775,-9.4226E-14
,,,10.500,-1.4781,2.2253E-14,10.500,-1.4775,-9.7864E-14
,,,10.600,-1.4781,1.9348E-14,10.600,-1.4773,-9.9939E-14
,,,10.700,-1.4776,1.5833E-14,10.700,-1.4776,-1.0682E-13
