"Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6","Time (s) Run #8","Voltage (V) Run #8","Current (A) Run #8","Time (s) Run #10","Voltage (V) Run #10","Current (A) Run #10"
0.000,-0.6009,3.7045E-13,0.000,-0.7161,3.0609E-13,0.000,-1.2298,2.7732E-13,0.000,-1.4765,-1.1467E-13,0.000,-1.9517,9.4312E-14
0.100,-0.6012,3.6975E-13,0.100,-0.7159,3.0581E-13,0.100,-1.2300,2.8942E-13,0.100,-1.4765,-1.2169E-13,0.100,-1.9513,9.9854E-14
0.200,-0.6012,3.6930E-13,0.200,-0.7162,3.0829E-13,0.200,-1.2302,3.0369E-13,0.200,-1.4762,-1.2679E-13,0.200,-1.9521,9.8218E-14
0.300,-0.6010,3.6567E-13,0.300,-0.7158,3.1733E-13,0.300,-1.2302,3.1388E-13,0.300,-1.4765,-1.3953E-13,0.300,-1.9518,1.0793E-13
0.400,-0.6015,3.5555E-13,0.400,-0.7161,3.2740E-13,0.400,-1.2299,3.1383E-13,0.400,-1.4760,-1.4301E-13,0.400,-1.9522,1.1030E-13
0.500,-0.6009,3.5583E-13,0.500,-0.7159,3.3712E-13,0.500,-1.2302,3.1196E-13,0.500,-1.4759,-1.4095E-13,0.500,-1.9517,1.2114E-13
0.600,-0.6013,3.5485E-13,0.600,-0.7157,3.4987E-13,0.600,-1.2300,3.1742E-13,0.600,-1.4766,-1.3898E-13,0.600,-1.9520,1.2026E-13
0.700,-0.6012,3.5674E-13,0.700,-0.7156,3.7957E-13,0.700,-1.2300,3.3286E-13,0.700,-1.4765,-1.3013E-13,0.700,-1.9518,1.1865E-13
0.800,-0.6011,3.5767E-13,0.800,-0.7154,4.0699E-13,0.800,-1.2298,3.5192E-13,0.800,-1.4763,-1.2285E-13,0.800,-1.9518,1.1460E-13
0.900,-0.6008,3.6470E-13,0.900,-0.7156,4.1060E-13,0.900,-1.2300,3.5566E-13,0.900,-1.4765,-1.2144E-13,0.900,-1.9517,1.1135E-13
1.000,-0.6011,3.6019E-13,1.000,-0.7156,4.0309E-13,1.000,-1.2302,3.5580E-13,1.000,-1.4765,-1.2701E-13,1.000,-1.9519,1.0929E-13
1.100,-0.6010,3.5713E-13,1.100,-0.7158,3.8197E-13,1.100,-1.2301,3.6904E-13,1.100,-1.4762,-1.3282E-13,1.100,-1.9519,1.0322E-13
1.200,-0.6010,3.5225E-13,1.200,-0.7156,3.5944E-13,1.200,-1.2299,3.8353E-13,1.200,-1.4765,-1.4135E-13,1.200,-1.9517,1.0311E-13
1.300,-0.6010,3.5089E-13,1.300,-0.7156,3.3928E-13,1.300,-1.2298,3.8562E-13,1.300,-1.4765,-1.3899E-13,1.300,-1.9520,1.0453E-13
1.400,-0.6011,3.4760E-13,1.400,-0.7155,3.2917E-13,1.400,-1.2301,3.7197E-13,1.400,-1.4761,-1.3962E-13,1.400,-1.9522,1.1100E-13
1.500,-0.6013,3.4171E-13,1.500,-0.7153,3.2238E-13,1.500,-1.2302,3.5089E-13,1.500,-1.4760,-1.3561E-13,1.500,-1.9517,1.2025E-13
1.600,-0.6015,3.3190E-13,1.600,-0.7153,3.2476E-13,1.600,-1.2299,3.3225E-13,1.600,-1.4763,-1.4247E-13,1.600,-1.9515,1.2062E-13
1.700,-0.6012,3.2970E-13,1.700,-0.7157,3.3187E-13,1.700,-1.2298,3.0872E-13,1.700,-1.4762,-1.3390E-13,1.700,-1.9511,1.3064E-13
1.800,-0.6014,3.3058E-13,1.800,-0.7160,3.2877E-13,1.800,-1.2294,2.8538E-13,1.800,-1.4761,-1.3059E-13,1.800,-1.9518,1.2418E-13
1.900,-0.6010,3.3480E-13,1.900,-0.7154,3.2659E-13,1.900,-1.2299,2.7659E-13,1.900,-1.4761,-1.3009E-13,1.900,-1.9512,1.3079E-13
2.000,-0.6011,3.4469E-13,2.000,-0.7155,3.3140E-13,2.000,-1.2299,2.6996E-13,2.000,-1.4765,-1.3336E-13,2.000,-1.9515,1.2175E-13
2.100,-0.6009,3.4932E-13,2.100,-0.7157,3.3126E-13,2.100,-1.2298,2.5104E-13,2.100,-1.4762,-1.2460E-13,2.100,-1.9511,1.1609E-13
2.200,-0.6007,3.5400E-13,2.200,-0.7157,3.2032E-13,2.200,-1.2303,2.4402E-13,2.200,-1.4763,-1.2688E-13,2.200,-1.9514,1.0195E-13
2.300,-0.6011,3.4945E-13,2.300,-0.7150,3.1870E-13,2.300,-1.2298,2.4689E-13,2.300,-1.4760,-1.2842E-13,2.300,-1.9519,8.2166E-14
2.400,-0.6013,3.4651E-13,2.400,-0.7155,3.1320E-13,2.400,-1.2301,2.5848E-13,2.400,-1.4761,-1.3783E-13,2.400,-1.9523,7.4878E-14
2.500,-0.6007,3.4742E-13,2.500,-0.7150,3.1289E-13,2.500,-1.2298,2.6810E-13,2.500,-1.4762,-1.4291E-13,2.500,-1.9520,7.2583E-14
2.600,-0.6010,3.4807E-13,2.600,-0.7150,3.1520E-13,2.600,-1.2298,2.8425E-13,2.600,-1.4764,-1.4805E-13,2.600,-1.9522,7.5513E-14
2.700,-0.6014,3.5193E-13,2.700,-0.7151,3.2739E-13,2.700,-1.2299,2.9152E-13,2.700,-1.4760,-1.5018E-13,2.700,-1.9517,9.0454E-14
2.800,-0.6015,3.5757E-13,2.800,-0.7157,3.2190E-13,2.800,-1.2299,3.0166E-13,2.800,-1.4764,-1.5775E-13,2.800,-1.9519,1.0726E-13
2.900,-0.6017,3.6116E-13,2.900,-0.7154,3.1786E-13,2.900,-1.2300,3.0306E-13,2.900,-1.4764,-1.5593E-13,2.900,-1.9517,1.3058E-13
3.000,-0.6014,3.6447E-13,3.000,-0.7154,3.1266E-13,3.000,-1.2300,3.0636E-13,3.000,-1.4762,-1.5454E-13,3.000,-1.9517,1.3718E-13
