"Time (s) Run #12","Voltage (V) Run #12","Current (A) Run #12","Time (s) Run #13","Voltage (V) Run #13","Current (A) Run #13","Time (s) Run #15","Voltage (V) Run #15","Current (A) Run #15","Time (s) Run #16","Voltage (V) Run #16","Current (A) Run #16","Time (s) Run #18","Voltage (V) Run #18","Current (A) Run #18","Time (s) Run #19","Voltage (V) Run #19","Current (A) Run #19","Time (s) Run #21","Voltage (V) Run #21","Current (A) Run #21","Time (s) Run #22","Voltage (V) Run #22","Current (A) Run #22","Time (s) Run #24","Voltage (V) Run #24","Current (A) Run #24","Time (s) Run #25","Voltage (V) Run #25","Current (A) Run #25"
0.000,-0.6057,1.7397E-13,0.000,-0.6059,1.7856E-13,0.000,-0.7179,1.8694E-13,0.000,-0.7177,1.7363E-13,0.000,-1.2354,-4.8112E-13,0.000,-1.2352,-4.9698E-13,0.000,-1.4758,-1.4626E-13,0.000,-1.4760,-1.1670E-13,0.000,-1.9535,-1.4871E-13,0.000,-1.9540,-3.3541E-13
0.100,-0.6055,1.6805E-13,0.100,-0.6059,1.7753E-13,0.100,-0.7180,1.8080E-13,0.100,-0.7182,1.5488E-13,0.100,-1.2356,-4.8322E-13,0.100,-1.2355,-4.9764E-13,0.100,-1.4761,-1.3744E-13,0.100,-1.4758,-1.0908E-13,0.100,-1.9535,-1.5513E-13,0.100,-1.9542,-3.0555E-13
0.200,-0.6057,1.6901E-13,0.200,-0.6060,1.7113E-13,0.200,-0.7183,1.7726E-13,0.200,-0.7177,1.5657E-13,0.200,-1.2356,-4.9244E-13,0.200,-1.2353,-4.9626E-13,0.200,-1.4762,-1.3624E-13,0.200,-1.4754,-1.0173E-13,0.200,-1.9534,-1.6196E-13,0.200,-1.9548,-2.6246E-13
0.300,-0.6057,1.6459E-13,0.300,-0.6056,1.6793E-13,0.300,-0.7180,1.8153E-13,0.300,-0.7177,1.5574E-13,0.300,-1.2356,-5.0021E-13,0.300,-1.2353,-4.9712E-13,0.300,-1.4761,-1.3104E-13,0.300,-1.4758,-1.0144E-13,0.300,-1.9529,-1.6926E-13,0.300,-1.9547,-2.2139E-13
0.400,-0.6056,1.5265E-13,0.400,-0.6061,1.7198E-13,0.400,-0.7183,1.6949E-13,0.400,-0.7182,1.4968E-13,0.400,-1.2353,-5.0547E-13,0.400,-1.2356,-4.9663E-13,0.400,-1.4756,-1.2451E-13,0.400,-1.4759,-1.0924E-13,0.400,-1.9535,-1.7450E-13,0.400,-1.9548,-2.0413E-13
0.500,-0.6058,1.3569E-13,0.500,-0.6059,1.7795E-13,0.500,-0.7185,1.6976E-13,0.500,-0.7180,1.5360E-13,0.500,-1.2357,-5.0959E-13,0.500,-1.2355,-4.9684E-13,0.500,-1.4757,-1.1471E-13,0.500,-1.4758,-1.1410E-13,0.500,-1.9537,-1.7732E-13,0.500,-1.9541,-2.0236E-13
0.600,-0.6057,1.2699E-13,0.600,-0.6055,1.8925E-13,0.600,-0.7182,1.7819E-13,0.600,-0.7179,1.6941E-13,0.600,-1.2354,-5.0293E-13,0.600,-1.2354,-4.9883E-13,0.600,-1.4760,-1.1550E-13,0.600,-1.4756,-1.2637E-13,0.600,-1.9541,-1.7561E-13,0.600,-1.9545,-2.2019E-13
0.700,-0.6055,1.2196E-13,0.700,-0.6059,1.8967E-13,0.700,-0.7184,1.8590E-13,0.700,-0.7179,1.7118E-13,0.700,-1.2354,-4.9653E-13,0.700,-1.2357,-5.0522E-13,0.700,-1.4765,-1.2528E-13,0.700,-1.4755,-1.2247E-13,0.700,-1.9537,-1.6511E-13,0.700,-1.9546,-2.3667E-13
0.800,-0.6055,1.1652E-13,0.800,-0.6055,1.8456E-13,0.800,-0.7182,1.9628E-13,0.800,-0.7177,1.8163E-13,0.800,-1.2357,-4.9670E-13,0.800,-1.2353,-5.0194E-13,0.800,-1.4762,-1.2672E-13,0.800,-1.4758,-1.2620E-13,0.800,-1.9539,-1.6047E-13,0.800,-1.9546,-2.5741E-13
0.900,-0.6058,1.2736E-13,0.900,-0.6057,1.7986E-13,0.900,-0.7183,1.9861E-13,0.900,-0.7180,1.8735E-13,0.900,-1.2354,-5.0121E-13,0.900,-1.2353,-5.0480E-13,0.900,-1.4763,-1.2917E-13,0.900,-1.4761,-1.2118E-13,0.900,-1.9537,-1.6411E-13,0.900,-1.9549,-2.6958E-13
